"date","RSV cases overall","RSV cases 0-4","RSV cases 5-17","RSV cases 18-64","RSV cases 65+","RSV cases Bronx","RSV cases Brooklyn","RSV cases Manhattan","RSV cases Queens","RSV cases Staten Island"
"02/14/2026","2336","858","381","678","419","357","573","543","574","147"
"02/21/2026","2279","819","264","752","444","524","705","612","812","189"
"02/28/2026","1783","631","161","610","381","421","491","402","590","124"
"03/07/2026","1656","486","148","565","457","571","666","502","633","184"
"03/14/2026","1566","550","161","476","379","704","864","596","863","160"
"03/21/2026","1372","441","127","464","339","857","1088","702","1029","272"
"03/28/2026","1062","351","98","353","260","1066","1292","690","1381","309"
"04/04/2026","830","244","70","303","213","915","1121","641","1240","290"
"04/11/2026","632","183","41","225","183","529","662","375","686","155"
"04/18/2026","460","155","23","133","149","418","451","268","510","110"
"04/25/2026","328","100","19","103","106","286","292","172","267","62"
"05/02/2026","225","69","23","72","61","322","320","193","262","54"
