"date","COVID-19 deaths overall","COVID-19 deaths 0-17","COVID-19 deaths 18-64","COVID-19 deaths 65+","COVID-19 deaths Bronx","COVID-19 deaths Brooklyn","COVID-19 deaths Manhattan","COVID-19 deaths Queens","COVID-19 deaths Staten Island","COVID-19 deaths Asian/Pacific Islander","COVID-19 deaths Black/African American","COVID-19 deaths Hispanic/Latino","COVID-19 deaths White"
"04/01/2025","62","","9","50","13","14","13","15","7","6","22","9","23"
"05/01/2025","42","0","","38","10","11","6","12","","","12","8","17"
"06/01/2025","28","","","21","","8","","14","","6","6","5","7"
"07/01/2025","26","","","20","","15","0","7","0","5","5","","11"
"08/01/2025","30","0","9","21","","13","5","8","","","8","","15"
"09/01/2025","23","","","17","6","5","6","","","","","7","8"
"10/01/2025","","0","0","0","0","0","0","0","0","0","0","0","0"
